slug,category,korean_text,english_text,romanization,difficulty,access_tier,usage_note,related_slugs,sort_order,is_published,usage_pack,pseo_page_enabled,indexable,robots_directive,sitemap_include,rollout_batch,seo_priority,index_reason_codes,page_type,page_template_key,intent_bucket,audience_segment,use_case_primary,keyword_opportunity,primary_query,audio_query,pronunciation_query,seo_title,seo_title_length,seo_title_pattern_key,meta_description,meta_description_length,h1_template_key,page_slug,canonical_path,parent_hub_slug,parent_hub_path,breadcrumb_label,app_deep_link,normal_audio_asset_key,slow_audio_asset_key,normal_timing_asset_key,render_components,cta_key,cta_label_key,related_slug_count,invalid_related_slugs,related_link_strategy,duplicate_english_group,canonical_variant_strategy,noindex_reason,qa_flags
chuwo,courtesy,추워요,It's cold,chuwoyo,easy,free,weather / body,"deowo,gwaenchanayo",110,true,,true,true,"index,follow",true,batch_1,10,"core_lookup,short_phrase,has_usage_note",phrase_audio_page,everyday_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,how to say it's cold in korean,hear it's cold in korean,chuwoyo pronunciation,"Hear ""It's cold"" in Korean",26,hear_phrase_title,Hear 추워요 (chuwoyo) and learn how to use it for body or weather temperature. Practice normal and slow Korean audio in Jjin.,122,phrase_audio_h1,it-s-cold-in-korean,/phrases/it-s-cold-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,It's cold,jjin://phrase/chuwo,phrases/chuwo/ko_normal.wav,phrases/chuwo/ko_slow.wav,phrases/chuwo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
deowo,courtesy,더워요,It's hot,deowoyo,easy,free,weather / body,"chuwo,mul",120,true,,true,true,"index,follow",true,batch_1,10,"core_lookup,short_phrase,has_usage_note",phrase_audio_page,everyday_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,how to say it's hot in korean,hear it's hot in korean,deowoyo pronunciation,"Hear ""It's hot"" in Korean",25,hear_phrase_title,Hear 더워요 (deowoyo) and learn how to use it for body or weather temperature. Practice normal and slow Korean audio in Jjin.,122,phrase_audio_h1,it-s-hot-in-korean,/phrases/it-s-hot-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,It's hot,jjin://phrase/deowo,phrases/deowo/ko_normal.wav,phrases/deowo/ko_slow.wav,phrases/deowo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
keopi-juseyo,cafe,커피 주세요,Coffee please,keopi juseyo,easy,free,,"yeogiseo-masilgeyo,pojanghae-juseyo",130,true,,true,true,"index,follow",true,batch_1,11,"manual_high_intent,request_query,two_word_term,travel_category",phrase_audio_page,request_phrase_audio,travel_cafe,traveler,cafe_ordering,high,how to say coffee please in korean,hear coffee please in korean,keopi juseyo pronunciation,"Hear ""Coffee please"" in Korean",30,hear_phrase_title,Hear 커피 주세요 (keopi juseyo) and learn how to use it for cafe ordering. Practice normal and slow Korean audio in Jjin.,116,phrase_audio_h1,coffee-please-in-korean,/phrases/coffee-please-in-korean,korean-cafe-phrases,/korean-for-travel/cafe,Coffee please,jjin://phrase/keopi-juseyo,phrases/keopi-juseyo/ko_normal.wav,phrases/keopi-juseyo/ko_slow.wav,phrases/keopi-juseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
yeogiseo-masilgeyo,cafe,여기서 마실게요,For here,yeogiseo masilgeyo,moderate,free,at a cafe,"keopi-juseyo,mul",140,true,,true,true,"index,follow",true,batch_1,9,"manual_high_intent,two_word_term,travel_category,has_usage_note",term_audio_page,food_ordering_term_audio,travel_cafe,traveler,cafe_ordering,high,for here in korean,hear for here in korean,yeogiseo masilgeyo pronunciation,"Hear ""For here"" in Korean",25,hear_term_title,Hear 여기서 마실게요 (yeogiseo masilgeyo) and learn how to use it for ordering at a cafe. Practice normal and slow Korean audio in Jjin.,129,term_audio_h1,for-here-in-korean,/phrases/for-here-in-korean,korean-cafe-phrases,/korean-for-travel/cafe,For here,jjin://phrase/yeogiseo-masilgeyo,phrases/yeogiseo-masilgeyo/ko_normal.wav,phrases/yeogiseo-masilgeyo/ko_slow.wav,phrases/yeogiseo-masilgeyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
pojanghae-juseyo,cafe,포장해 주세요,To go please,pojanghae juseyo,moderate,premium,takeout,"keopi-juseyo,juseyo",150,FALSE,,FALSE,false,"noindex,follow",false,hold_noindex,12,"manual_high_intent,request_query,short_phrase,travel_category,has_usage_note",phrase_audio_page,request_phrase_audio,travel_cafe,traveler,cafe_ordering,high,how to say to go please in korean,hear to go please in korean,pojanghae juseyo pronunciation,"Hear ""To go please"" in Korean",29,hear_phrase_title,Hear 포장해 주세요 (pojanghae juseyo) and learn how to use it for ordering takeout. Practice normal and slow Korean audio in Jjin.,124,phrase_audio_h1,to-go-please-in-korean,/phrases/to-go-please-in-korean,korean-cafe-phrases,/korean-for-travel/cafe,To go please,jjin://phrase/pojanghae-juseyo,phrases/pojanghae-juseyo/ko_normal.wav,phrases/pojanghae-juseyo/ko_slow.wav,phrases/pojanghae-juseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
mul,cafe,물,Water,mul,easy,free,,"juseyo,yeogiseo-masilgeyo",160,true,food_drink,true,true,"index,follow",true,batch_1,9,"core_lookup,travel_category",term_audio_page,food_ordering_term_audio,travel_cafe,traveler,cafe_ordering,high,water in korean,hear water in korean,mul pronunciation,"Hear ""Water"" in Korean",22,hear_term_title,Hear 물 (mul) and learn how to use it for cafe ordering. Practice normal and slow Korean audio in Jjin.,102,term_audio_h1,water-in-korean,/phrases/water-in-korean,korean-cafe-phrases,/korean-for-travel/cafe,Water,jjin://phrase/mul,phrases/mul/ko_normal.wav,phrases/mul/ko_slow.wav,phrases/mul/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
menyu-bolgeyo,restaurant,메뉴 좀 볼게요,Let me look at the menu,menyu jom bolgeyo,difficult,premium,,"chucheonhae-juseyo,mwo",170,FALSE,,FALSE,false,"noindex,follow",false,hold_noindex,12,"manual_high_intent,request_query,full_phrase,travel_category",phrase_audio_page,request_phrase_audio,travel_restaurant,traveler,restaurant_ordering,high,how to say let me look at the menu in korean,hear let me look at the menu in korean,menyu jom bolgeyo pronunciation,"Hear ""Let me look at the menu"" in Korean",40,hear_phrase_title,Hear 메뉴 좀 볼게요 (menyu jom bolgeyo) and learn how to use it for restaurant ordering. Practice normal and slow Korean audio in Jjin.,129,phrase_audio_h1,let-me-look-at-the-menu-in-korean,/phrases/let-me-look-at-the-menu-in-korean,korean-restaurant-phrases,/korean-for-travel/restaurant,Let me look at the menu,jjin://phrase/menyu-bolgeyo,phrases/menyu-bolgeyo/ko_normal.wav,phrases/menyu-bolgeyo/ko_slow.wav,phrases/menyu-bolgeyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
chucheonhae-juseyo,restaurant,추천해 주세요,Please recommend something,chucheonhae juseyo,difficult,premium,,"menyu-bolgeyo,juseyo",180,FALSE,,FALSE,false,"noindex,follow",false,hold_noindex,12,"manual_high_intent,request_query,short_phrase,travel_category",phrase_audio_page,request_phrase_audio,travel_restaurant,traveler,restaurant_ordering,high,how to say please recommend something in korean,hear please recommend something in korean,chucheonhae juseyo pronunciation,"Hear ""Please recommend something"" in Korean",43,hear_phrase_title,Hear 추천해 주세요 (chucheonhae juseyo) and learn how to use it for restaurant ordering. Practice normal and slow Korean audio in Jjin.,129,phrase_audio_h1,please-recommend-something-in-korean,/phrases/please-recommend-something-in-korean,korean-restaurant-phrases,/korean-for-travel/restaurant,Please recommend something,jjin://phrase/chucheonhae-juseyo,phrases/chucheonhae-juseyo/ko_normal.wav,phrases/chucheonhae-juseyo/ko_slow.wav,phrases/chucheonhae-juseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
mwo,restaurant,뭐,What,mwo,easy,free,,"menyu-bolgeyo,igeo",190,true,,true,true,"index,follow",true,batch_1,11,"manual_high_intent,question_query,travel_category",phrase_audio_page,question_phrase_audio,travel_restaurant,traveler,restaurant_ordering,high,what in korean,hear what in korean,mwo pronunciation,"Hear ""What"" in Korean",21,hear_phrase_title,Hear 뭐 (mwo) and learn how to use it for restaurant ordering. Practice normal and slow Korean audio in Jjin.,108,question_audio_h1,what-in-korean,/phrases/what-in-korean,korean-restaurant-phrases,/korean-for-travel/restaurant,What,jjin://phrase/mwo,phrases/mwo/ko_normal.wav,phrases/mwo/ko_slow.wav,phrases/mwo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
yeogi,transit,여기,Here,yeogi,easy,free,,"jeogi,eodi",200,true,,true,false,"noindex,follow",false,hold_noindex,0,"travel_category,support_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,low_support,here in korean,hear here in korean,yeogi pronunciation,"Hear ""Here"" in Korean",21,hear_term_title,Hear 여기 (yeogi) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,110,term_audio_h1,here-in-korean,/phrases/here-in-korean,korean-transit-phrases,/korean-for-travel/transit,Here,jjin://phrase/yeogi,phrases/yeogi/ko_normal.wav,phrases/yeogi/ko_slow.wav,phrases/yeogi/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,support_phrase_or_low_standalone_search_intent,
jeogi,transit,저기,Over there,jeogi,easy,free,,"yeogi,eodi",210,true,,true,false,"noindex,follow",false,hold_noindex,0,"two_word_term,travel_category,support_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,low_support,over there in korean,hear over there in korean,jeogi pronunciation,"Hear ""Over there"" in Korean",27,hear_term_title,Hear 저기 (jeogi) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,110,term_audio_h1,over-there-in-korean,/phrases/over-there-in-korean,korean-transit-phrases,/korean-for-travel/transit,Over there,jjin://phrase/jeogi,phrases/jeogi/ko_normal.wav,phrases/jeogi/ko_slow.wav,phrases/jeogi/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,support_phrase_or_low_standalone_search_intent,
eodi,transit,어디,Where,eodi,easy,free,,"yeogi,jeogi",220,true,,true,false,"noindex,follow",false,hold_noindex,3,"question_query,travel_category,support_term",phrase_audio_page,question_phrase_audio,travel_transit,traveler,transit_navigation,low_support,where in korean,hear where in korean,eodi pronunciation,"Hear ""Where"" in Korean",22,hear_phrase_title,Hear 어디 (eodi) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,109,question_audio_h1,where-in-korean,/phrases/where-in-korean,korean-transit-phrases,/korean-for-travel/transit,Where,jjin://phrase/eodi,phrases/eodi/ko_normal.wav,phrases/eodi/ko_slow.wav,phrases/eodi/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,support_phrase_or_low_standalone_search_intent,
eodieseo-tayo,transit,어디에서 타요?,Where do I board?,eodieseo tayo,difficult,premium,,"eodi,jihacheol",230,FALSE,,FALSE,false,"noindex,follow",false,hold_noindex,12,"manual_high_intent,question_query,full_phrase,travel_category",phrase_audio_page,question_phrase_audio,travel_transit,traveler,transit_navigation,high,where do i board in korean,hear where do i board? in korean,eodieseo tayo pronunciation,"Hear ""Where do I board?"" in Korean",34,hear_phrase_title,Hear 어디에서 타요? (eodieseo tayo) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,124,question_audio_h1,where-do-i-board-in-korean,/phrases/where-do-i-board-in-korean,korean-transit-phrases,/korean-for-travel/transit,Where do I board?,jjin://phrase/eodieseo-tayo,phrases/eodieseo-tayo/ko_normal.wav,phrases/eodieseo-tayo/ko_slow.wav,phrases/eodieseo-tayo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
hwajangsil,transit,화장실,Bathroom,hwajangsil,moderate,free,,"eodi,chulgu",240,true,place_location,true,true,"index,follow",true,batch_1,10,"manual_high_intent,travel_category,travel_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,high,bathroom in korean,hear bathroom in korean,hwajangsil pronunciation,"Hear ""Bathroom"" in Korean",25,hear_term_title,Hear 화장실 (hwajangsil) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,116,term_audio_h1,bathroom-in-korean,/phrases/bathroom-in-korean,korean-transit-phrases,/korean-for-travel/transit,Bathroom,jjin://phrase/hwajangsil,phrases/hwajangsil/ko_normal.wav,phrases/hwajangsil/ko_slow.wav,phrases/hwajangsil/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
chulgu,transit,출구,Exit,chulgu,moderate,free,,"ipgu,yeok",250,true,place_location,true,false,"noindex,follow",false,batch_3_enrich,5,"travel_category,travel_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,medium_requires_context,exit in korean,hear exit in korean,chulgu pronunciation,"Hear ""Exit"" in Korean",21,hear_term_title,Hear 출구 (chulgu) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,111,term_audio_h1,exit-in-korean,/phrases/exit-in-korean,korean-transit-phrases,/korean-for-travel/transit,Exit,jjin://phrase/chulgu,phrases/chulgu/ko_normal.wav,phrases/chulgu/ko_slow.wav,phrases/chulgu/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,needs_more_context_before_indexing,
ipgu,transit,입구,Entrance,ipgu,moderate,free,,"chulgu,yeok",260,true,place_location,true,false,"noindex,follow",false,batch_3_enrich,5,"travel_category,travel_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,medium_requires_context,entrance in korean,hear entrance in korean,ipgu pronunciation,"Hear ""Entrance"" in Korean",25,hear_term_title,Hear 입구 (ipgu) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,109,term_audio_h1,entrance-in-korean,/phrases/entrance-in-korean,korean-transit-phrases,/korean-for-travel/transit,Entrance,jjin://phrase/ipgu,phrases/ipgu/ko_normal.wav,phrases/ipgu/ko_slow.wav,phrases/ipgu/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,needs_more_context_before_indexing,
yeok,transit,역,Station,yeok,moderate,free,,"jihacheol,beoseu",270,true,place_location,true,false,"noindex,follow",false,batch_3_enrich,5,"travel_category,travel_term",term_audio_page,travel_term_audio,travel_transit,traveler,transit_navigation,medium_requires_context,station in korean,hear station in korean,yeok pronunciation,"Hear ""Station"" in Korean",24,hear_term_title,Hear 역 (yeok) and learn how to use it for transit navigation. Practice normal and slow Korean audio in Jjin.,108,term_audio_h1,station-in-korean,/phrases/station-in-korean,korean-transit-phrases,/korean-for-travel/transit,Station,jjin://phrase/yeok,phrases/yeok/ko_normal.wav,phrases/yeok/ko_slow.wav,phrases/yeok/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,needs_more_context_before_indexing,
